    NGC7331 11.15  0.13 75.00  2.00 239.0   6.2 246.6   6.4 256.1   5.5 257.0   5.5 546.6   7.2 532.1   9.4 530.1   9.4
    NGC7793  9.67  0.09 47.00  9.00   0.0   0.0  98.4  15.3 114.0  18.4 116.0  18.5 265.3  39.2 242.0  37.8 232.4  36.4
    NGC7814 10.59  0.11 90.00  1.00 218.9   7.2 228.0   5.2 229.6   6.5 265.0  15.0 512.0  20.0 466.0   8.0 462.0   8.0
   UGC00128 10.20  0.14 57.00 10.00 129.6  15.0 113.7  12.9 126.4  14.3 134.0  15.3 287.4  33.5 265.9  33.7 255.2  32.6
   UGC00191  9.45  0.26 45.00  5.00   0.0   0.0  73.7   9.9  76.7   6.8  83.8   7.4 203.6  18.8 185.3  21.4 182.4  21.2
   UGC00634  9.80  0.22 37.00  8.00   0.0   0.0  75.2  14.5  94.7  17.6 108.0  20.0 259.2  48.3 239.3  45.9 236.0  45.3
   UGC00731  9.41  0.26 57.00  3.00  73.3   4.0  63.0   3.3  50.9   3.3  74.0   3.8 174.1  22.8   0.0   0.0   0.0   0.0
   UGC00891  8.88  0.27 60.00  5.00   0.0   0.0  44.8   2.7  47.5   2.8  63.8   3.3 158.2  10.6 133.9  14.6 132.8  14.6
   UGC01281  8.75  0.06 90.00  1.00  55.2   4.2  54.4   4.0  55.3   4.0  56.9   4.0 135.0   4.0 122.0   8.0 119.0   8.0
   UGC02259  9.18  0.26 41.00  3.00  86.2   6.2  81.8   5.1  83.4   5.2  90.0   6.2 208.8  14.4 192.1  16.7 190.5  16.6
   UGC02487 11.43  0.16 36.00  5.00 332.0  40.8 365.6  45.2 364.5  44.3 383.0  46.2 833.6 100.4 843.8 103.1 823.4 100.7
   UGC02885 11.41  0.12 64.00  4.00 289.5  15.9 285.2  13.9 285.9  14.0 305.0  14.4 646.4  23.4 644.2  23.3 628.6  22.9
   UGC02916 10.97  0.15 50.00  5.00 182.7  17.3 210.6  22.7 207.1  16.0 218.0  17.7 492.1  38.3 417.7  33.2 404.7  32.4
   UGC02953 11.15  0.28 50.00  4.00 264.9  16.7 317.3  18.6 318.2  18.9 319.0  18.9 642.3  38.3 621.4  37.3 617.5  37.0
   UGC03205 10.84  0.20 67.00  4.00 219.6  10.9 235.6   9.1 218.9   8.5 237.0  12.2 478.2  16.3 471.5  16.1 462.8  16.4
   UGC03546 10.73  0.24 55.00  5.00 196.9  15.3 197.9  12.5 194.3  17.8 262.0  75.3 456.6  28.3   0.0   0.0   0.0   0.0
   UGC03580 10.09  0.23 63.00  4.00 126.2   5.6  96.9  12.2  96.6   7.1 131.0   5.0 271.6  11.9   0.0   0.0   0.0   0.0
   UGC04278  9.33  0.26 90.00  3.00  91.4   7.3  75.8   4.0  76.7   4.0  92.8   8.8 206.0  10.0 185.0  18.0 183.0  18.0
   UGC04325  9.28  0.27 41.00  3.00  90.9   6.4  91.4   6.3  91.5   6.3  92.7   6.4 228.6  14.7 208.8  14.9 204.2  14.7
   UGC04483  7.69  0.09 58.00  3.00   0.0   0.0  17.1   1.7  19.8   1.4  24.3   2.4  89.6  22.2   0.0   0.0   0.0   0.0
   UGC04499  9.35  0.26 50.00  3.00  72.8   4.4  62.9   4.0  70.3   4.2  74.3   4.2 180.1   9.4 156.6  10.6 152.7  10.4
   UGC05005  9.79  0.18 41.00 10.00  98.9  22.3  65.9  15.8  78.1  32.4 100.0  22.4   0.0   0.0 169.2  37.8   0.0   0.0
   UGC05253 11.03  0.23 37.00  4.00 213.7  21.4 245.0  22.8 245.9  22.9 248.0  23.5 568.3  56.3 526.7  50.0 521.8  49.6
   UGC05414  9.12  0.27 55.00  3.00   0.0   0.0  55.4   3.2   0.0   0.0  61.4   3.3 146.5   8.8 129.4   9.3 125.7   9.2
   UGC05716  9.24  0.22 54.00 10.00  73.1   9.4  51.7   6.8  57.5   7.3  74.7   9.7 170.6  22.7 156.4  22.9 153.3  22.6
   UGC05721  9.01  0.26 61.00  5.00  79.7   7.8  56.9   6.1  69.2   5.7  82.6   6.1 205.8  11.6 186.4  12.1 182.9  11.9
   UGC05750  9.50  0.18 64.00 10.00   0.0   0.0  66.8  13.5  78.3  12.9  78.9  12.9   0.0   0.0  90.1  18.2   0.0   0.0
   UGC05764  8.41  0.26 60.00 10.00   0.0   0.0  55.7   5.7  55.1   5.6  55.8   5.7 142.0  15.9 122.4  16.5 121.2  16.4
   UGC05829  9.22  0.26 34.00 10.00   0.0   0.0  51.8  14.3  62.0  16.8  68.6  18.5 171.7  44.6 144.9  38.3 143.1  37.9
   UGC05918  8.71  0.26 46.00  5.00   0.0   0.0  42.0   5.3   0.0   0.0  44.5   5.4 104.3  10.6   0.0   0.0   0.0   0.0
   UGC05986  9.77  0.27 90.00  3.00 113.0   4.9 104.4   3.6 116.0   2.0 116.0   2.3 262.0   5.0 252.0  20.0 248.0  20.0
   UGC06399  9.31  0.14 75.00  2.00  85.0   5.2  78.4   3.8  85.5   5.0  87.6   5.0 179.1  17.4 185.3   8.2 181.2   8.2
   UGC06446  9.37  0.26 51.00  3.00  82.2   7.0  69.2   4.6  74.1   4.8  84.9   6.6 200.7  12.4 173.7  14.9 171.1  14.9
   UGC06614 10.96  0.12 36.00 10.00 199.8  51.4 170.0  41.4 178.7  43.7 205.0  51.8 473.0 114.7   0.0   0.0   0.0   0.0
   UGC06667  9.25  0.13 89.00  1.00  83.8   3.9   0.0   0.0  85.0   3.0  85.7   3.4 199.0  11.0 184.5  14.5 181.5  14.5
   UGC06786 10.64  0.24 64.00  3.00 219.4   9.8 220.0   6.3 220.0   8.4 229.0   6.1 487.3  13.4 476.2  22.6 470.6  22.5
   UGC06787 10.75  0.24 66.00  3.00 248.1   7.7 243.2   6.0 233.0   6.2 276.0  14.1 533.1  16.6   0.0   0.0   0.0   0.0
   UGC06818  9.35  0.13 75.00  3.00  71.2   6.4  42.2   4.3  61.0   4.8  74.4   6.1 182.2  12.3 158.4   8.3 154.3   8.3
   UGC06917  9.79  0.14 56.00  2.00 108.7   6.2  99.9   4.2 106.8   4.7 111.0   6.5 243.7   9.8 230.4   9.7 225.6   9.6
   UGC06923  9.40  0.14 65.00  2.00  79.6   5.1  74.9   4.9  75.9   4.1  81.1   5.3 192.0   6.8 166.6   8.4 162.2   8.4
   UGC06930  9.94  0.13 32.00  5.00 107.2  16.4 102.9  15.3 103.1  15.3 109.0  16.1 262.3  37.5   0.0   0.0   0.0   0.0
   UGC06983  9.82  0.13 49.00  1.00 109.0   7.8 102.5   3.8 107.1   4.7 113.0   4.7 261.0   8.0 241.2  16.4 237.2  16.4
   UGC07089  9.53  0.14 80.00  3.00   0.0   0.0  63.0   4.4  73.5   6.1  79.1   7.3 161.5   7.2 151.3   8.1 147.2   8.1
   UGC07125  9.88  0.26 90.00  3.00  65.2   2.8  56.7   2.0  57.3   2.0  65.6   2.1 180.0   9.0 151.0   8.0 147.0   8.0
   UGC07151  9.29  0.08 90.00  3.00  73.5   3.7  66.6   2.1  72.1   3.2  76.2   3.2 172.0   4.0 160.0  11.0 158.0  11.0
   UGC07232  8.07  0.08 59.00  5.00   0.0   0.0  36.0   3.8   0.0   0.0  44.0   4.0  91.0   7.7   0.0   0.0   0.0   0.0
   UGC07261  9.43  0.26 30.00 10.00  74.7  23.3  65.9  20.7  74.2  23.1  76.1  23.7 216.0  65.7   0.0   0.0   0.0   0.0
   UGC07323  9.48  0.27 47.00  3.00   0.0   0.0  81.3   5.5   0.0   0.0  85.6   5.7 194.2  11.2 170.9  11.6 168.2  11.5
   UGC07399  9.20  0.27 55.00  3.00 103.0   6.4  94.7   4.6  89.5   4.1 106.0   6.3 275.9  15.7 228.3  40.9 225.8  40.8
   UGC07524  9.55  0.06 46.00  3.00  79.6   5.7  77.1   4.9  75.5   5.0  83.8   5.9 186.3  10.7 166.8  11.6 165.4  11.6
   UGC07559  8.45  0.06 61.00  3.00   0.0   0.0  23.9   3.3  30.3   3.3  32.1   3.4  90.3   6.5   0.0   0.0   0.0   0.0
   UGC07577  7.91  0.06 63.00  3.00   0.0   0.0   0.0   0.0  16.2   3.2  17.8   3.2  57.2   5.2  41.5   8.1  40.4   8.1
   UGC07603  8.73  0.26 78.00  3.00  61.6   3.3  45.5   2.9  56.8   3.0  64.0   3.0 154.4   7.2 118.6   8.1 114.5   8.1
   UGC07690  8.98  0.27 41.00  5.00  57.4   7.3  59.9   7.4  60.6   7.5  60.7   7.5 166.1  19.4   0.0   0.0   0.0   0.0
   UGC07866  8.34  0.06 44.00  5.00   0.0   0.0  26.1   4.7  29.9   4.9  33.1   5.1  93.6  10.4   0.0   0.0   0.0   0.0
   UGC08286  9.17  0.06 90.00  3.00  82.4   2.5  72.1   2.0  80.3   2.1  84.3   2.0 190.0   1.0 184.0   1.0   0.0   0.0
   UGC08490  9.17  0.11 50.00  3.00  78.6   5.2  69.8   4.8  76.3   5.0  80.1   5.1 167.1   9.5 159.3   7.1   0.0   0.0
   UGC08550  8.72  0.26 90.00  3.00  56.9   2.3  42.7   2.7  49.4   2.1  57.8   2.2 154.0   7.0 132.0   1.0   0.0   0.0
   UGC08699 10.48  0.24 73.00  9.00 182.4  11.3 178.6   9.1 180.1  16.5 202.0  10.7 411.0  20.9   0.0   0.0   0.0   0.0
   UGC08837  8.83  0.07 80.00  5.00   0.0   0.0  46.9   3.2   0.0   0.0  48.0   3.1 107.6   5.3   0.0   0.0   0.0   0.0
   UGC09037 10.78  0.11 65.00  5.00 152.3  14.9 131.7   7.6 139.7   8.8 160.0   9.8 350.9  14.6 329.9  21.7 318.9  21.4
   UGC09133 11.27  0.19 53.00  6.00 226.8  18.4 281.2  22.9 287.7  25.1 289.0  26.1 550.9  43.8 547.2  47.2 534.7  46.3
   UGC09992  8.77  0.26 30.00 10.00  33.6  11.6  32.9  11.4  33.5  11.6  34.3  11.8 116.0  35.6   0.0   0.0   0.0   0.0
   UGC10310  9.39  0.27 34.00  6.00  71.4  12.3  67.7  11.7  71.9  12.3  73.2  12.4 202.1  32.4 166.3  27.0 164.5  26.8
   UGC11455 11.31  0.16 90.00  1.00 269.4   8.1 279.7   9.4 288.9   6.6 291.0  10.0 644.0   4.0 634.0  15.0 617.0  15.0
   UGC11557  9.98  0.23 30.00 10.00   0.0   0.0  84.3  26.7  80.7  25.3  85.0  26.9 224.0  67.9 180.0  55.0 174.0  53.2
   UGC11820  9.49  0.26 45.00 10.00   0.0   0.0  57.1  10.0  60.4  10.6  84.5  14.8 190.9  33.7 157.0  28.5 149.9  27.4
   UGC11914 10.88  0.28 31.00  5.00 288.1  43.2 285.6  45.1 283.0  41.9 305.0  44.6 695.1 101.4 621.3  92.0 617.4  91.5
   UGC12506 11.07  0.11 86.00  4.00 234.0  17.5 242.0  11.7 248.6  14.9 255.0  11.7 494.2   3.1 481.2  14.2 465.1  14.2
   UGC12632  9.47  0.26 46.00  3.00  71.7   4.9  64.6   4.9  70.4   4.5  73.2   4.8 183.5  11.0 157.1  11.3 154.3  11.2
   UGC12732  9.76  0.27 39.00  6.00   0.0   0.0  67.7   9.6  75.0  10.3  98.0  13.1 214.5  28.0 193.9  27.4 189.9  26.9
    UGCA442  8.62  0.06 64.00  7.00  56.4   4.2  45.6   3.3  52.2   3.7  57.8   4.5 123.5  10.2 110.1  14.6 102.4  14.4
    UGCA444  7.98  0.06 78.00  4.00  37.0   6.3  32.1   4.4  23.1   3.1  38.3   7.8  75.7   6.1  56.2   8.0  56.2   8.0
